arise	xuất hiện, nảy sinh, nổi lên	To arise is to happen. Difficulties arose with his computer because it was old.	
benefactor	người làm việc thiện	A benefactor is a person who gives money to help someone. The student's benefactor gave him money to spend on his studies.	
blacksmith	thợ rèn	A blacksmith is a person who makes things out of metal. The blacksmith pounded the piece o f metal until it was flat.	
charitableđộ lượng-When someone is charitable, they help people who are in need. My sister was charitable enough to help me buy my first house.	
chimney	ống khói	A chimney is a tall pipe used to carry smoke out of a building. The cat was on the roof sitting next to the chimney.	
compensate	bù; bù đắp; đền bù	To compensate is to pay someone for the time they spent doing something. Her boss compensated her for the extra work she did last week.	
encounter	gặp; đụng độ với	If you encounter something, you meet or come close to it. I encountered a sea turtle while I was swimming.	
exceed	vượt quá	To exceed is to be more than something. Since I exceeded my lim it, I decided to get rid o f my credit cards.	
forge	lò rèn	To forge is to make or produce, especially with difficulty. Stacy and Heather forged their friendship when they were teenagers.	
humble	khiêm tốn, nhún nhường	People who are humble do not believe that they are better than other people. Even though Bob is the smartest boy in his class, he is humble.	
ladder	cái thang	A ladder is an object that is used to climb up and down things. He used a ladder to climb to the top o f his tree house.	
modestkhiêm tốn, nhún nhường, nhã nhặn-If people are modest, they do not think that they are too important. Derek is very modest for someone who is so rich.	
occupy	chiếm; ở	To occupy a place is to live, work, or be there. Kevin and Alice occupied the chairs and had a long discussion.	
penny	nhiều và dễ kiếm	A penny is a coin worth one cent. U.S. President Abraham Lincoln is on the penny.	
preach	thuyết giáo; thuyết pháp	To preach is to talk about and promote a religious idea.Aaron often preached about living an honest life.	
prosper	thịnh vượng lên, phát đạt, phồn vinh lên	To prosper is to be successful or make a lot of money. Frank's new business finally prospered after many years o f hard work.	
province	tỉnh, (số ít) phạm vi, lĩnh vực	A province is a small area that is controlled by a country. Canada is divided into several different provinces.	
satisfaction	sự vừa ý, sự thỏa mãn	Satisfaction is a feeling you get when you do or receive something good.Brad was filled with satisfaction when he saw what was for dinner.	
sustain	nâng, đỡ, chống đỡ	To sustain something is to keep it going. Wind power is a clean way to sustain a city with energy.	
acquire	đạt được, thu được	To acquire something is to gain possession of it. Tina acquired a strange package yesterday.	
awkward	bất tiện, vụng về	If something is awkward, it is embarrassing and uncomfortable. After dropping his coffee cup, Robbie felt awkward.	
caretaker	người [được giao] trông nom (một ngôi nhà, một công trình kiến trúc)	A caretaker is a person who takes care of very young, old, or sick people. My grandmother's caretaker helps her get around the house.	
deceive	lừa dối	To deceive someone is to make them believe something that is not true. He tried to deceive his friends as they were playing a game.	
discourage	làm nản lòng	To discourage someone is to make them feel less excited about something. Mr. Perry discouraged the students from quitting school.	
fake	đồ giả	If something is fake, it is made to look real in order to trick people. The model was wearing fake eyelashes.	
hatred	lòng căm ghét	Hatred is a strong feeling of not liking someone or something. I have a hatred for the taste o f medicine.	
hut	túp lều	A hut is a house made of wood, grass, or mud that has only one ortwo rooms. We all went into the hut to sleep.	
inferior	thấp, hạ đẳng	If something is inferior, it is not as good as something else. Cars built a hundred years ago are inferior to ones built today.	
lodge	nhà ở cổng (công viên, tòa nhà lớn…) (để người gác cổng…ở)	A lodge is a house in the mountains, used by people who hunt or fish. During our ski trip, we stayed at a lodge.	
neglect	sao lãng, lơ là	To neglect someone or something is to not take care of it properly. William neglected his room, so it is a complete mess.	
newcomer	người mới đến	A newcomer is a person who has recently arrived at a place or a group. The students happily welcomed the newcomer to the school.	
offense	đội tấn công	An offense is behavior that is wrong or breaks a law. Stealing a car is a very serious offense.	
